Name MC MP
Bitcoin 111,638,289,638,745 55.00%
Ethereum 33,134,191,064,379 16.32%
Tether 10,218,615,156,804 5.03%
BN 8,160,150,224,110 4.02%
Solana 5,978,731,060,817 2.95%
USD 3,048,415,903,327 1.50%
XR 2,649,818,857,736 1.31%
Dogecoin 1,955,537,983,900 0.96%
Toncoin 1,930,753,787,244 0.95%
Cardano 1,504,479,258,320 0.74%
Shiba 1,245,103,562,799 0.61%
Avalanche 1,210,273,235,649 0.60%
TRON 1,000,652,223,866 0.49%
Polkadot 924,543,352,993 0.46%
Bitcoin 819,800,082,917 0.40%
Chainlink 759,255,020,802 0.37%
NEAR 712,971,145,887 0.35%
Polygon 626,359,484,004 0.31%
Litecoin 560,034,227,833 0.28%
Internet 511,849,908,181 0.25%
UNUS 493,981,249,781 0.24%
Da 492,361,938,490 0.24%
Uniswap 405,471,769,437 0.20%
Rende 387,531,542,581 0.19%
Ethereum 371,666,463,888 0.18%
Heder 362,189,762,973 0.18%
First 353,058,211,438 0.17%
Apto 342,161,259,495 0.17%
Cosmo 332,076,773,014 0.16%
Pep 321,740,470,702 0.16%
Crono 308,440,065,199 0.15%
Mantl 307,161,765,304 0.15%
Filecoi 292,129,347,203 0.14%
Stella 286,056,303,373 0.14%
OK 278,964,704,797 0.14%
Stack 278,718,496,061 0.14%
Immutabl 277,711,329,131 0.14%
Kasp 270,645,485,964 0.13%
dogwifha 264,414,085,159 0.13%
Arbitru 251,474,773,587 0.12%
Optimis 249,744,026,384 0.12%
Bittenso 247,367,177,506 0.12%
Arweav 239,141,124,745 0.12%
The 236,896,874,193 0.12%
VeChai 237,167,681,038 0.12%
Make 229,979,494,754 0.11%
Moner 223,473,468,688 0.11%
Su 215,436,404,839 0.11%
Injectiv 203,088,139,646 0.10%
Theta 198,499,872,332 0.10%
THORChai 187,029,277,499 0.09%
Fetch.a 174,403,141,383 0.09%
Fanto 173,958,142,595 0.09%
Celesti 159,841,204,421 0.08%
FLOK 154,510,882,275 0.08%
Lido 153,890,468,550 0.08%
Bitget 143,028,696,446 0.07%
Algoran 142,207,162,608 0.07%
Bon 142,307,605,832 0.07%
Cor 139,278,680,536 0.07%
Se 135,517,832,554 0.07%
Jupite 131,887,601,313 0.06%
Ethen 123,293,087,028 0.06%
Flo 123,052,168,661 0.06%
Gal 121,766,342,483 0.06%
Aav 118,873,204,971 0.06%
Bitcoin 113,558,920,895 0.06%
SingularityNE 109,407,899,814 0.05%
dYdX 109,684,239,846 0.05%
Bea 109,324,887,778 0.05%
Akash 107,297,088,451 0.05%
Quan 107,426,852,106 0.05%
BitTorrent 106,458,497,221 0.05%
Worldcoi 105,090,642,973 0.05%
Pendl 102,733,068,805 0.05%
Flar 101,510,493,976 0.05%
Wormhol 101,740,779,739 0.05%
Ond 101,249,485,594 0.05%
Ne 100,237,912,623 0.05%
Chili 100,001,865,746 0.05%
Multivers 98,823,899,785 0.05%
Axie 96,706,744,679 0.05%
KuCoin 91,592,652,137 0.05%
The 90,566,295,213 0.04%
AIOZ 86,346,177,827 0.04%
eCas 85,959,050,560 0.04%
Starkne 83,979,176,505 0.04%
JasmyCoi 83,979,298,743 0.04%
Tezo 83,636,088,213 0.04%
EO 83,469,038,708 0.04%
Min 81,993,821,874 0.04%
Roni 81,037,043,597 0.04%
Syntheti 77,849,873,213 0.04%
Conflu 77,599,057,281 0.04%
Decentralan 75,048,772,187 0.04%
ORD 74,098,150,064 0.04%
Gnosi 72,692,073,437 0.04%
Nervos 71,066,650,795 0.04%
GateToke 69,955,774,749 0.03%
ApeCoi 68,965,241,176 0.03%
